date,stateId,stateName,confidence,distance,close,volatilityMultiple,volumeMultiple,trendScore,resonanceCount,middleDeviationRate,middleDeviationAtr,middlePositionPct,maDeviationRate,maDeviationAtr,maPositionPct,stretchHeat
2024-10-01,8,过渡混合态,0.2163,2.5062,61865.5,1.2424,1.6644,0.905,2,0.4941,0.1433,40.3693,-1.9708,-0.5862,15.4278,44.203
2024-10-02,8,过渡混合态,0.3731,2.2364,60642.1,1.1752,1.3589,-1.0058,2,-2.1339,-0.6148,29.5223,-3.987,-1.1709,11.6761,58.8016
2024-10-03,8,过渡混合态,0.4652,1.5848,61887,0.9756,0.9832,-0.9529,2,-0.1248,-0.036,37.8028,-2.0844,-0.6137,15.2514,46.9458
2024-10-04,8,过渡混合态,0.1895,2.4647,62165,0.4078,0.4668,-0.5452,2,0.3238,0.0977,39.7165,-1.7128,-0.5276,15.8037,44.4798
2024-10-05,8,过渡混合态,0.1837,2.3764,62729.2,0.543,0.351,-0.1676,2,1.2343,0.3856,43.8355,-0.8936,-0.2852,17.3595,38.805
2024-10-06,6,上侧趋势共振态,0.0128,2.3435,63654.7,1.0882,1.0293,2.639,3,2.7279,0.8464,50.4288,0.4823,0.153,20.1709,30.2578
2024-10-07,8,过渡混合态,0.4381,1.6787,62281.3,1.0231,1.0462,0.0538,2,-0.8587,-0.2696,34.4603,-1.7556,-0.5563,15.6195,49.9201
2024-10-08,8,过渡混合态,0.2577,2.229,62311.7,0.5113,0.7576,1.0135,2,-0.8103,-0.264,34.5409,-1.7753,-0.5841,15.4412,50.0179
2024-10-09,8,过渡混合态,0.1046,2.499,60797.5,1.058,1.0749,-2.1662,3,-3.7401,-1.2197,20.8674,-4.2214,-1.3836,10.3113,68.8213
2024-10-10,0,放量波动扩张态,0.084,3.0752,62254.3,1.7263,1.3556,0.8439,2,-0.7137,-0.2182,35.1971,-1.9998,-0.6193,15.2154,49.5875
2024-10-11,8,过渡混合态,0.2782,2.0846,63166,0.6783,0.8095,1.8331,2,0.7403,0.2319,41.6361,-0.6423,-0.204,17.8804,40.4835
2024-10-12,8,过渡混合态,0.3146,2.0323,62231.3,0.6905,0.4319,0.8628,2,-0.7504,-0.2406,34.8754,-2.1872,-0.7117,14.6223,50.5022
2024-10-13,0,放量波动扩张态,0.0326,3.5486,65892.8,1.961,1.4932,6.2479,4,5.0892,1.5114,59.9424,3.4646,1.0451,25.8953,34.0472
2024-10-14,6,上侧趋势共振态,0.1901,2.7094,66022.6,1.472,1.8519,6.4508,4,4.0423,1.1708,55.0701,3.5672,1.038,25.8498,29.2204
2024-10-15,6,上侧趋势共振态,0.3857,1.7439,67763.3,1.1103,1.5392,10.3979,4,6.4144,1.8486,64.7666,6.1912,1.788,30.6624,34.1042
2024-10-16,6,上侧趋势共振态,0.443,1.4227,67583,0.6705,0.9368,8.2391,4,6.1312,1.8118,64.2399,5.8316,1.7281,30.278,33.9619
2024-10-17,6,上侧趋势共振态,0.3794,1.7584,68741.8,1.0035,1.1034,10.587,4,7.5764,2.246,70.4526,7.5902,2.2498,33.6256,36.827
2024-10-18,6,上侧趋势共振态,0.2517,2.2462,68223.5,0.4713,0.4895,8.5519,4,6.6108,2.0424,67.5398,6.74,2.0798,32.5348,35.0049
2024-10-19,6,上侧趋势共振态,0.1757,2.6739,68635.2,0.39,0.3519,8.7522,4,7.2541,2.3463,71.8881,7.3313,2.3696,34.3942,37.4938
2024-10-20,6,上侧趋势共振态,0.3918,1.6691,67331,1.3371,1.1057,7.9189,4,4.7979,1.5176,60.0318,5.2528,1.6543,29.8048,30.227
2024-10-21,6,上侧趋势共振态,0.4072,1.4359,67290,0.6848,1.1488,6.4941,4,4.734,1.5338,60.2625,5.1526,1.6627,29.8585,30.404
2024-10-22,6,上侧趋势共振态,0.4079,1.5303,66228.7,0.9801,0.9646,4.9739,4,3.0822,1.0001,52.6272,3.4958,1.1298,26.4387,26.1885
2024-10-23,6,上侧趋势共振态,0.2706,2.1255,67699.7,1.3558,1.27,6.0849,3,5.3717,1.6953,62.574,5.7881,1.8195,30.8647,31.7093
2024-10-24,6,上侧趋势共振态,0.4688,1.2601,67685.8,0.813,1.101,5.1911,4,5.3501,1.7128,62.8237,5.758,1.8363,30.9721,31.8516
2024-10-25,6,上侧趋势共振态,0.2569,2.0874,66887.9,1.1397,1.2275,3.8505,3,4.1082,1.3011,56.9332,4.5138,1.424,28.3266,28.6066
2024-10-26,6,上侧趋势共振态,0.1464,2.5868,67790.1,0.5468,0.3532,3.2671,3,5.5124,1.8066,64.1667,5.9224,1.9335,31.596,32.5707
2024-10-27,6,上侧趋势共振态,0.2684,1.857,68497.1,0.8936,0.9701,3.8251,3,6.6128,2.185,69.5804,7.0256,2.3125,34.0278,35.5526
2024-10-28,4,放量波动扩张态,0.1345,3.4342,72410.9,1.9128,1.6313,10.1006,4,10.2355,3.215,84.3168,13.1164,4.015,44.9523,39.3644
2024-10-29,6,上侧趋势共振态,0.2317,2.02,72061.3,1.0931,1.4279,9.2715,4,8.6198,2.7149,77.162,12.5697,3.8201,43.7019,33.4601
2024-10-30,6,上侧趋势共振态,0.2854,1.672,70637.2,1.1815,1.0938,7.6301,4,6.4732,2.0104,67.0814,10.3533,3.1023,39.0962,27.9852
