instrument,bar,horizon,environment,environmentDirection,hitMeaning,observations,weightedObservations,hitRatePct,baselineRatePct,liftPct,liftWilsonLow,avgFutureReturnPct,medianFutureReturnPct,avgAbsFutureReturnPct,avgFutureRangePct,periodWeightAvg,lowSample,eligibleForCross,mainHorizon,passCandidate,firstDate,lastDate
ADA-USDT,4H,5,TREND,down,方向命中,3443,2410.1,46.67,46.94,-0.26,-1.93,0.1179,0.2493,3.6868,8.2159,0.7,False,True,True,False,2018-09-06 04:00,2026-05-28 04:00
ADA-USDT,4H,5,TREND,up,方向命中,4128,2889.6,47.77,45.86,1.91,0.39,0.4655,-0.1949,3.8543,8.265,0.7,False,True,True,False,2018-09-01 00:00,2026-05-11 16:00
ADA-USDT,4H,10,CHAOS,neutral,高扰动命中,1291,903.7,18.2,25.02,-6.82,-8.83,0.1932,-0.2113,4.3672,9.3634,0.7,False,True,True,False,2018-09-02 08:00,2026-05-31 12:00
ADA-USDT,4H,10,RANGE,neutral,低波动维持,2530,1771.0,65.53,50.01,15.52,13.64,-0.2113,0.0,3.1006,6.3447,0.7,False,True,True,True,2018-09-02 12:00,2026-05-31 16:00
ADA-USDT,4H,10,TREND,down,方向命中,3443,2410.1,48.85,47.43,1.42,-0.24,0.095,0.1585,4.8616,11.3928,0.7,False,True,True,False,2018-09-06 04:00,2026-05-28 04:00
ADA-USDT,4H,10,TREND,up,方向命中,4125,2887.5,48.63,45.89,2.75,1.22,0.829,-0.1258,5.353,11.6628,0.7,False,True,True,False,2018-09-01 16:00,2026-05-11 16:00
ADA-USDT,8H,1,CHAOS,neutral,高扰动命中,569,398.3,21.97,25.03,-3.06,-6.27,0.0141,-0.0662,1.841,4.2124,0.7,False,True,False,False,2018-10-15 08:00,2026-05-27 08:00
ADA-USDT,8H,1,RANGE,neutral,低波动维持,969,678.3,72.24,50.02,22.22,19.31,0.0079,0.0,1.0122,2.1212,0.7,False,True,False,True,2018-10-16 08:00,2026-05-25 08:00
ADA-USDT,8H,1,TREND,down,方向命中,2141,1498.7,48.25,46.24,2.01,-0.1,0.0376,0.0498,2.1494,4.7032,0.7,False,True,False,False,2018-10-11 00:00,2026-06-01 08:00
ADA-USDT,8H,1,TREND,up,方向命中,2399,1679.3,48.85,45.28,3.57,1.58,0.2029,-0.0295,2.3068,5.032,0.7,False,True,False,False,2018-10-09 00:00,2026-05-12 00:00
ADA-USDT,8H,3,CHAOS,neutral,高扰动命中,569,398.3,20.91,25.03,-4.12,-7.26,0.2679,-0.0032,3.4842,7.4447,0.7,False,True,False,False,2018-10-15 08:00,2026-05-27 08:00
ADA-USDT,8H,3,RANGE,neutral,低波动维持,969,678.3,69.87,50.02,19.84,16.88,0.0437,0.0,2.0,4.0425,0.7,False,True,False,True,2018-10-16 08:00,2026-05-25 08:00
ADA-USDT,8H,3,TREND,down,方向命中,2140,1498.0,47.57,47.21,0.36,-1.75,0.2863,0.1865,3.703,8.1979,0.7,False,True,False,False,2018-10-11 00:00,2026-06-01 00:00
ADA-USDT,8H,3,TREND,up,方向命中,2397,1677.9,47.39,45.88,1.52,-0.48,0.4995,-0.2672,4.1306,8.8476,0.7,False,True,False,False,2018-11-04 16:00,2026-05-12 00:00
ADA-USDT,8H,5,CHAOS,neutral,高扰动命中,569,398.3,20.74,25.04,-4.3,-7.43,0.5978,0.0,4.5072,9.5762,0.7,False,True,True,False,2018-10-15 08:00,2026-05-27 08:00
ADA-USDT,8H,5,RANGE,neutral,低波动维持,969,678.3,68.11,50.03,18.09,15.09,-0.0408,0.0,2.7376,5.5692,0.7,False,True,True,True,2018-10-16 08:00,2026-05-25 08:00
ADA-USDT,8H,5,TREND,down,方向命中,2139,1497.3,48.95,47.6,1.35,-0.77,0.3295,0.1056,4.6023,10.591,0.7,False,True,True,False,2018-10-11 00:00,2026-05-30 00:00
ADA-USDT,8H,5,TREND,up,方向命中,2397,1677.9,48.27,45.7,2.57,0.58,0.7857,-0.1859,5.2561,11.4951,0.7,False,True,True,False,2018-11-04 16:00,2026-05-12 00:00
ADA-USDT,8H,10,CHAOS,neutral,高扰动命中,569,398.3,18.1,25.04,-6.94,-9.89,1.3496,-0.1428,6.9129,14.0692,0.7,False,True,True,False,2018-10-15 08:00,2026-05-27 08:00
ADA-USDT,8H,10,RANGE,neutral,低波动维持,969,678.3,66.87,50.02,16.85,13.82,0.0326,0.0,4.1707,8.4386,0.7,False,True,True,True,2018-10-16 08:00,2026-05-25 08:00
ADA-USDT,8H,10,TREND,down,方向命中,2135,1494.5,49.46,48.51,0.95,-1.17,0.43,0.0277,6.341,14.8443,0.7,False,True,True,False,2018-10-12 00:00,2026-05-29 16:00
ADA-USDT,8H,10,TREND,up,方向命中,2397,1677.9,48.48,45.08,3.4,1.4,1.4362,-0.4465,7.7932,16.5267,0.7,False,True,True,False,2018-11-04 16:00,2026-05-12 00:00
ALGO-USDT,1D,1,CHAOS,neutral,高扰动命中,126,88.2,12.7,25.08,-12.38,-17.11,-0.7086,-1.295,3.9633,8.6214,0.7,False,True,False,False,2020-02-26,2026-05-28
ALGO-USDT,1D,1,RANGE,neutral,低波动维持,89,62.3,69.66,50.06,19.6,9.4,-0.111,0.2302,2.8622,6.6257,0.7,False,True,False,True,2020-03-02,2026-05-25
ALGO-USDT,1D,1,TREND,down,方向命中,696,487.2,47.7,47.95,-0.25,-3.94,0.049,0.1716,3.7845,8.5915,0.7,False,True,False,False,2020-03-07,2026-05-27
ALGO-USDT,1D,1,TREND,up,方向命中,744,520.8,49.6,52.61,-3.01,-6.59,0.6299,0.0,4.8248,10.4457,0.7,False,True,False,False,2020-02-04,2026-05-31
ALGO-USDT,1D,3,CHAOS,neutral,高扰动命中,126,88.2,14.29,25.1,-10.82,-15.87,0.0717,-0.8897,6.5188,14.1857,0.7,False,True,False,False,2020-02-26,2026-05-28
ALGO-USDT,1D,3,RANGE,neutral,低波动维持,89,62.3,58.43,50.06,8.36,-2.02,-0.3737,0.4655,5.7771,12.234,0.7,False,True,False,True,2020-03-02,2026-05-25
ALGO-USDT,1D,3,TREND,down,方向命中,696,487.2,49.14,49.07,0.07,-3.63,0.0244,0.1264,6.458,14.8267,0.7,False,True,False,False,2020-03-07,2026-05-27
