indicator,indicatorKey,horizon,lowOccurrences,highOccurrences,lowValueMedian,highValueMedian,lowAvgReturnPct,highAvgReturnPct,highMinusLowReturnPct,lowAvgAbsReturnPct,highAvgAbsReturnPct,highMinusLowAbsReturnPct,lowAvgExcursionPct,highAvgExcursionPct,highMinusLowExcursionPct
8日ATR百分位,atr8Percentile,1,292,293,2.5715,81.4328,0.1928,0.4238,0.231,1.4352,3.7824,2.3472,2.8575,8.3386,5.4811
8日ATR百分位,atr8Percentile,3,292,293,2.5715,81.4328,0.811,1.089,0.278,3.2855,6.0877,2.8022,5.9103,13.6996,7.7893
8日ATR百分位,atr8Percentile,5,292,293,2.5715,81.4328,1.2036,1.4395,0.2359,4.6259,7.0081,2.3822,8.3227,16.8342,8.5115
8日ATR百分位,atr8Percentile,10,290,293,2.5593,81.4328,2.2711,1.8585,-0.4126,7.7408,8.617,0.8762,13.8026,21.4859,7.6833
8日ATR率,atr8Pct,1,292,293,2.2863,8.4949,0.2512,0.2942,0.043,1.3671,3.8031,2.436,2.7204,8.3701,5.6497
8日ATR率,atr8Pct,3,292,293,2.2863,8.4949,0.9745,0.8403,-0.1342,2.8388,6.2614,3.4226,5.2741,13.8921,8.618
8日ATR率,atr8Pct,5,290,293,2.2848,8.4949,1.4736,1.1745,-0.2991,4.0626,7.3727,3.3101,7.3857,17.2292,9.8435
8日ATR率,atr8Pct,10,286,293,2.2805,8.4949,2.4113,2.3391,-0.0722,7.1217,9.5023,2.3806,12.3238,22.467,10.1432
波动倍率,volatilityMultiple,1,292,293,0.4102,1.9959,-0.1195,0.1288,0.2483,1.7555,2.5535,0.798,3.4208,6.4304,3.0096
波动倍率,volatilityMultiple,3,292,293,0.4102,1.9959,0.1758,0.6144,0.4386,3.1367,4.2479,1.1112,6.7505,9.6403,2.8898
波动倍率,volatilityMultiple,5,292,293,0.4102,1.9959,0.4845,0.3879,-0.0966,4.3765,5.9671,1.5906,9.0016,12.8597,3.8581
波动倍率,volatilityMultiple,10,292,293,0.4102,1.9959,1.3355,1.4281,0.0926,6.5463,7.9389,1.3926,13.6282,17.1735,3.5453
波动倍率百分位,volatilityMultiplePercentile,1,292,293,4.1948,94.4139,-0.1491,0.1685,0.3176,1.7613,2.5286,0.7673,3.4426,6.3972,2.9546
波动倍率百分位,volatilityMultiplePercentile,3,292,293,4.1948,94.4139,0.0426,0.6242,0.5816,3.1919,4.2328,1.0409,6.7859,9.6297,2.8438
波动倍率百分位,volatilityMultiplePercentile,5,292,293,4.1948,94.4139,0.331,0.4262,0.0952,4.4285,5.895,1.4665,9.0356,12.7643,3.7287
波动倍率百分位,volatilityMultiplePercentile,10,292,293,4.1948,94.4139,1.0942,1.7229,0.6287,6.5344,7.9955,1.4611,13.7519,17.2177,3.4658
波动超额,volatilityExcess,1,292,293,-0.5898,0.9959,-0.1195,0.1288,0.2483,1.7555,2.5535,0.798,3.4208,6.4304,3.0096
波动超额,volatilityExcess,3,292,293,-0.5898,0.9959,0.1758,0.6144,0.4386,3.1367,4.2479,1.1112,6.7505,9.6403,2.8898
波动超额,volatilityExcess,5,292,293,-0.5898,0.9959,0.4845,0.3879,-0.0966,4.3765,5.9671,1.5906,9.0016,12.8597,3.8581
波动超额,volatilityExcess,10,292,293,-0.5898,0.9959,1.3355,1.4281,0.0926,6.5463,7.9389,1.3926,13.6282,17.1735,3.5453
共振数量,resonanceCount,1,292,292,2,4,-0.2519,0.0206,0.2725,2.0483,1.6144,-0.4339,4.344,3.5689,-0.7751
共振数量,resonanceCount,3,292,290,2,4,-0.5204,0.1278,0.6482,3.4018,2.8989,-0.5029,7.5723,6.5172,-1.0551
共振数量,resonanceCount,5,292,289,2,4,-0.8669,0.1914,1.0583,4.7071,3.5951,-1.112,9.9829,8.4214,-1.5615
共振数量,resonanceCount,10,292,288,2,4,-0.9436,-0.0437,0.8999,7.8795,5.254,-2.6255,15.3748,11.5831,-3.7917
拉伸热度,stretchHeat,1,291,293,10.2338,75.1047,0.2458,0.6312,0.3854,2.0595,2.5234,0.4639,4.4938,5.3525,0.8587
拉伸热度,stretchHeat,3,291,293,10.2338,75.1047,0.7476,1.7435,0.9959,3.5984,4.688,1.0896,8.0891,9.7052,1.6161
拉伸热度,stretchHeat,5,289,293,10.2338,75.1047,1.096,2.9561,1.8601,4.5883,6.5315,1.9432,10.4535,13.0381,2.5846
拉伸热度,stretchHeat,10,284,293,10.2798,75.1047,2.1155,4.6904,2.5749,7.7126,9.1937,1.4811,15.6337,18.6632,3.0295
量能倍率,volumeMultiple,1,292,293,0.3753,2.0639,-0.0274,0.1427,0.1701,1.6833,2.4457,0.7624,3.6154,6.0656,2.4502
量能倍率,volumeMultiple,3,292,293,0.3753,2.0639,0.3417,0.4007,0.059,2.9831,4.3331,1.35,6.9767,9.8253,2.8486
量能倍率,volumeMultiple,5,292,293,0.3753,2.0639,0.4613,0.4123,-0.049,4.0525,5.4519,1.3994,9.2844,12.3494,3.065
量能倍率,volumeMultiple,10,292,293,0.3753,2.0639,0.563,1.1356,0.5726,5.8049,7.0173,1.2124,13.437,16.0897,2.6527
趋势动能,trendScore,1,292,293,-14.6908,23.8279,0.215,0.5392,0.3242,3.2382,2.7607,-0.4775,7.1743,6.3321,-0.8422
趋势动能,trendScore,3,292,293,-14.6908,23.8279,0.6239,1.2961,0.6722,5.7072,4.8852,-0.822,12.3559,10.8099,-1.546
趋势动能,trendScore,5,292,293,-14.6908,23.8279,0.601,2.0307,1.4297,6.5776,6.0061,-0.5715,14.9182,13.7863,-1.1319
趋势动能,trendScore,10,292,293,-14.6908,23.8279,1.0582,3.791,2.7328,8.2286,8.1391,-0.0895,19.198,18.9185,-0.2795
剩余动能率,remainingMomentumPct,1,292,293,-2.8846,4.487,0.0433,0.2381,0.1948,2.5341,2.7659,0.2318,5.0958,7.0801,1.9843
剩余动能率,remainingMomentumPct,3,292,293,-2.8846,4.487,0.2508,0.6943,0.4435,4.4828,4.5845,0.1017,9.3489,10.8382,1.4893
剩余动能率,remainingMomentumPct,5,292,293,-2.8846,4.487,0.6705,0.7442,0.0737,5.7307,6.165,0.4343,12.1459,14.0842,1.9383
剩余动能率,remainingMomentumPct,10,292,293,-2.8846,4.487,1.3992,2.2471,0.8479,8.019,8.3295,0.3105,17.6115,18.7274,1.1159
剩余动能ATR,remainingMomentumAtr,1,292,293,-0.5898,0.9959,-0.1195,0.1288,0.2483,1.7555,2.5535,0.798,3.4208,6.4304,3.0096
剩余动能ATR,remainingMomentumAtr,3,292,293,-0.5898,0.9959,0.1758,0.6144,0.4386,3.1367,4.2479,1.1112,6.7505,9.6403,2.8898
剩余动能ATR,remainingMomentumAtr,5,292,293,-0.5898,0.9959,0.4845,0.3879,-0.0966,4.3765,5.9671,1.5906,9.0016,12.8597,3.8581
剩余动能ATR,remainingMomentumAtr,10,292,293,-0.5898,0.9959,1.3355,1.4281,0.0926,6.5463,7.9389,1.3926,13.6282,17.1735,3.5453
振幅/13日ATR,volatilityMultiple13,1,292,293,0.4139,1.9686,-0.0994,0.1801,0.2795,1.7552,2.5368,0.7816,3.4219,6.3635,2.9416
振幅/13日ATR,volatilityMultiple13,3,292,293,0.4139,1.9686,0.1845,0.5915,0.407,3.1459,4.2094,1.0635,6.7641,9.5536,2.7895
振幅/13日ATR,volatilityMultiple13,5,292,293,0.4139,1.9686,0.4946,0.3522,-0.1424,4.3778,5.8877,1.5099,9.0074,12.7586,3.7512
振幅/13日ATR,volatilityMultiple13,10,292,293,0.4139,1.9686,1.311,1.547,0.236,6.5261,7.8105,1.2844,13.6235,17.0114,3.3879
振幅/13日ATR百分位,volatilityMultiple13Percentile,1,292,293,4.2466,94.4062,-0.1196,0.198,0.3176,1.7786,2.5166,0.738,3.4579,6.3032,2.8453
