treeType,horizon,routeKey,routeLabel,ruleId,predictionKey,prediction,samples,purityPct,conditions,distribution,topClass,topSharePct,secondClass,secondSharePct,edgePct,baselinePct,liftPct,fitProbabilityPct,notFitProbabilityPct,quality,auditReason
策略适配树,10,breakoutDown,向下突破,4,notFit,不适合,318,61.95,13日ATR百分位 <= 54.2398 AND 13日ATR率 <= 3.6479 AND M2货币供应 <= 20769.3 AND 联邦基金利率63日变化bp <= 26.5,不适合:62% | 适合:38%,不适合,61.95,适合,38.05,23.9,42.77,19.18,38.05,61.95,观察,达最低门槛，但还不够强
策略适配树,10,breakoutDown,向下突破,5,fit,适合,160,85.63,13日ATR百分位 <= 54.2398 AND 13日ATR率 > 3.6479 AND 10年美债21日变化bp > -3.5 AND M2 63日变化率 <= 0.2144,适合:85.6% | 不适合:14.4%,适合,85.63,不适合,14.37,71.26,57.23,28.4,85.63,14.37,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,6,notFit,不适合,156,54.49,13日ATR百分位 > 54.2398 AND 中值乖离率 <= 0.8232 AND 10年美债收益率 <= 2.985 AND 美元指数代理 <= 115.334,不适合:54.5% | 适合:45.5%,不适合,54.49,适合,45.51,8.98,42.77,11.72,45.51,54.49,弱参考,样本少于200；第一名领先不足10%
策略适配树,10,breakoutDown,向下突破,7,notFit,不适合,139,82.01,13日ATR百分位 > 54.2398 AND 中值乖离率 <= 0.8232 AND 10年美债收益率 <= 2.985 AND 美元指数代理 > 115.334,不适合:82% | 适合:18%,不适合,82.01,适合,17.99,64.02,42.77,39.24,17.99,82.01,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,8,notFit,不适合,103,60.19,13日ATR百分位 <= 54.2398 AND 13日ATR率 <= 3.6479 AND M2货币供应 > 20769.3 AND 233MA乖离率 <= -14.3795,不适合:60.2% | 适合:39.8%,不适合,60.19,适合,39.81,20.38,42.77,17.42,39.81,60.19,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,9,notFit,不适合,75,62.67,13日ATR百分位 > 54.2398 AND 中值乖离率 > 0.8232 AND 233MA乖离率 <= 67.7736 AND 振幅/21日ATR > 0.911,不适合:62.7% | 适合:37.3%,不适合,62.67,适合,37.33,25.34,42.77,19.9,37.33,62.67,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,10,fit,适合,65,60,13日ATR百分位 > 54.2398 AND 中值乖离率 > 0.8232 AND 233MA乖离率 > 67.7736 AND 8日涨跌 > 9.823,适合:60% | 不适合:40%,适合,60,不适合,40,20,57.23,2.77,60,40,弱参考,样本少于200；相对基准提升不足5%
策略适配树,10,breakoutDown,向下突破,11,fit,适合,64,65.63,13日ATR百分位 > 54.2398 AND 中值乖离率 > 0.8232 AND 233MA乖离率 <= 67.7736 AND 振幅/21日ATR <= 0.911,适合:65.6% | 不适合:34.4%,适合,65.63,不适合,34.38,31.25,57.23,8.4,65.63,34.38,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,12,fit,适合,63,73.02,13日ATR百分位 > 54.2398 AND 中值乖离率 <= 0.8232 AND 10年美债收益率 > 2.985 AND 233MA乖离率 <= -31.9605,适合:73% | 不适合:27%,适合,73.02,不适合,26.98,46.04,57.23,15.79,73.02,26.98,弱参考,样本少于200
策略适配树,10,breakoutDown,向下突破,13,notFit,不适合,55,67.27,13日ATR百分位 > 54.2398 AND 中值乖离率 <= 0.8232 AND 10年美债收益率 > 2.985 AND 233MA乖离率 > -31.9605,不适合:67.3% | 适合:32.7%,不适合,67.27,适合,32.73,34.54,42.77,24.5,32.73,67.27,弱参考,样本少于200
