routeKey,routeLabel,family,direction,scoreBucket,horizon,occurrences,avgScore,medianScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,medianRouteReturnPct,avgFutureReturnPct,avgAbsReturnPct,avgMaxUpPct,avgMaxDownPct,lastSeen
waitDefense,防守等待,wait,neutral,不适配,1,337,21.05,19.48,46.88,,0.9565,0,0.198,2.1109,2.5521,-2.4565,2025-11-12
waitDefense,防守等待,wait,neutral,低适配,1,1582,37.99,35.95,48.61,,1.1355,0,0.0791,2.3501,2.453,-2.6402,2026-05-28
waitDefense,防守等待,wait,neutral,中适配,1,817,59.35,58.52,48.35,,0.7716,0,0.1951,1.7383,1.8703,-1.6809,2026-05-21
waitDefense,防守等待,wait,neutral,高适配,1,184,74.58,71.84,50,,0.8059,0,0.1232,1.7351,1.7935,-1.7015,2026-05-19
waitDefense,防守等待,wait,neutral,不适配,3,337,21.05,19.48,49.85,,1.5492,0,0.8651,3.9634,4.5959,-4.0253,2025-11-12
waitDefense,防守等待,wait,neutral,低适配,3,1580,37.99,35.95,52.97,,1.9711,0,0.2554,4.1977,4.3666,-4.4866,2026-05-26
waitDefense,防守等待,wait,neutral,中适配,3,817,59.35,58.52,52.14,,1.4704,0,0.4768,3.4175,3.7229,-3.2203,2026-05-21
waitDefense,防守等待,wait,neutral,高适配,3,184,74.58,71.84,50.54,,1.3578,0,0.2288,2.9444,3.4759,-3.305,2026-05-19
waitDefense,防守等待,wait,neutral,不适配,5,337,21.05,19.48,51.34,,1.8432,0,1.4111,5.0975,6.0042,-5.0024,2025-11-12
waitDefense,防守等待,wait,neutral,低适配,5,1578,37.99,35.95,57.67,,2.4762,0,0.4563,5.4086,5.7749,-5.7623,2026-05-24
waitDefense,防守等待,wait,neutral,中适配,5,817,59.35,58.52,54.96,,1.9405,0,0.8206,4.7017,5.1012,-4.252,2026-05-21
waitDefense,防守等待,wait,neutral,高适配,5,184,74.58,71.84,54.35,,1.9535,0,0.1322,4.0391,4.5128,-4.3187,2026-05-19
waitDefense,防守等待,wait,neutral,不适配,10,337,21.05,19.48,59.64,,2.8991,0,2.0286,7.8269,8.6934,-7.0564,2025-11-12
waitDefense,防守等待,wait,neutral,低适配,10,1575,37.98,35.95,64.38,,3.415,0,1.0856,7.9157,8.5135,-7.9196,2026-05-17
waitDefense,防守等待,wait,neutral,中适配,10,815,59.35,58.52,59.75,,2.5603,0,1.8288,6.9493,8.0355,-5.9486,2026-05-18
waitDefense,防守等待,wait,neutral,高适配,10,184,74.58,71.84,66.3,,3.0102,0.0433,-0.0478,5.9726,6.5611,-6.6298,2026-05-19
