stateId,stateName,routeLabel,routeKey,light,signalType,horizon,occurrences,avgScore,successRatePct,directionalWinRatePct,avgRouteReturnPct,avgFutureReturnPct,rankScore
2,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,1,297,42.15,13.13,47.81,1.9167,0.2613,16.13
2,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,10,297,16.37,7.07,52.86,1.4178,1.4178,10.54
2,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,1,297,16.37,9.76,52.19,0.2613,0.2613,9.07
2,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,3,297,16.37,9.09,51.85,0.4751,0.4751,9.01
2,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,5,297,16.37,6.73,51.18,0.6535,0.6535,7.93
1,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,1,291,12.52,86.6,,-2.2744,0.17,66.67
1,放量波动扩张态,向下突破,breakoutDown,黄灯,波动方向信号,10,291,65.48,55.33,46.74,8.5117,0.1555,64.89
1,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,3,291,12.52,87.29,,-4.1537,0.2043,63.22
1,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,5,291,12.52,86.6,,-5.6302,0.2634,59.96
1,放量波动扩张态,震荡网格,gridNeutral,绿灯,震荡状态信号,10,291,12.52,87.29,,-7.4714,0.1555,56.59
1,放量波动扩张态,防守等待,waitDefense,黄灯,风险过滤信号,10,291,33.16,62.2,,3.658,0.1555,56.27
1,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,1,291,43.58,54.3,54.3,0.17,0.17,49.98
1,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,10,291,43.58,53.26,53.26,0.1555,0.1555,48.92
1,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,10,291,38.77,54.98,53.26,7.8172,0.1555,48.52
1,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,5,291,43.58,52.23,52.23,0.2634,0.2634,48.11
1,放量波动扩张态,趋势追多,trendLong,黄灯,方向信号,3,291,43.58,51.55,51.55,0.2043,0.2043,47.3
1,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,5,291,65.48,42.61,47.77,6.3826,0.2634,42.5
1,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,5,291,38.77,39.52,52.23,5.7722,0.2634,37.53
1,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,5,291,33.16,57.04,,2.6834,0.2634,37.01
1,放量波动扩张态,向下突破,breakoutDown,红灯,波动方向信号,3,291,65.48,32.3,48.45,4.8535,0.2043,35.18
1,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,3,291,33.16,53.26,,1.9747,0.2043,33.89
1,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,3,291,72.59,48.45,48.45,-0.2043,0.2043,33.61
1,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,5,291,72.59,47.77,47.77,-0.2634,0.2634,32.8
1,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,10,291,72.59,46.74,46.74,-0.1555,0.1555,31.99
1,放量波动扩张态,趋势做空,trendShort,红灯,方向信号,1,291,72.59,45.7,45.7,-0.17,0.17,30.93
1,放量波动扩张态,防守等待,waitDefense,观察,风险过滤信号,1,291,33.16,47.77,,1.0522,0.17,29.57
1,放量波动扩张态,低吸均值回归,meanReversionLong,红灯,位置回归信号,10,291,30.72,46.74,53.26,0.1555,0.1555,28.67
1,放量波动扩张态,向上突破,breakoutUp,红灯,波动方向信号,3,291,38.77,25.43,51.55,4.4613,0.2043,28.19
