scope,regimeKey,regimeLabel,treeType,horizon,routeKey,routeLabel,technicalQuality,macroQuality,technicalSamples,macroSamples,technicalAccuracyPct,macroAccuracyPct,deltaAccuracyPct,technicalAccuracyLiftPct,macroAccuracyLiftPct,deltaAccuracyLiftPct,technicalFitPrecisionPct,macroFitPrecisionPct,deltaFitPrecisionPct,technicalFitLiftPct,macroFitLiftPct,deltaFitLiftPct,technicalNotFitPrecisionPct,macroNotFitPrecisionPct,deltaNotFitPrecisionPct,technicalNotFitLiftPct,macroNotFitLiftPct,deltaNotFitLiftPct,technicalBestLiftPct,macroBestLiftPct,deltaBestLiftPct,technicalBestPrecisionPct,macroBestPrecisionPct,deltaBestPrecisionPct,decision,technicalReason,macroReason
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,breakoutUp,向上突破,弱参考,强参考,366,366,62.57,60.93,-1.64,1.09,-0.55,-1.64,54.35,49.15,-5.2,15.82,10.63,-5.19,63.75,66.53,2.78,2.27,5.06,2.79,15.82,10.63,-5.19,63.75,66.53,2.78,仅观察,没有通过适合/不适合信号完整门槛,时间外验证存在稳定提升
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,gridNeutral,震荡网格,弱参考,弱参考,366,366,80.33,80.33,0,-2.46,-2.46,0,82.72,82.72,0,-0.07,-0.07,0,15.38,15.38,0,-1.83,-1.83,0,-0.07,-0.07,0,82.72,82.72,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,meanReversionLong,低吸均值回归,弱参考,弱参考,366,366,86.61,85.52,-1.09,0.55,-0.55,-1.1,53.57,47.22,-6.35,39.64,33.29,-6.35,89.35,89.7,0.35,3.28,3.63,0.35,39.64,33.29,-6.35,89.35,89.7,0.35,仅观察,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,meanReversionShort,高抛均值回归,强参考,弱参考,366,366,72.13,77.87,5.74,-4.37,1.37,5.74,42.98,66.67,23.69,19.49,43.17,23.68,85.32,78.35,-6.97,8.81,1.84,-6.97,19.49,43.17,23.68,85.32,78.35,-6.97,不保留宏观,时间外验证存在稳定提升,没有通过适合/不适合信号完整门槛
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,trendLong,趋势追多,弱参考,弱参考,366,366,54.64,54.64,0,0,0,0,54.64,54.64,0,0,0,0,0,0,0,-45.36,-45.36,0,0,0,0,54.64,54.64,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,trendShort,趋势做空,弱参考,弱参考,366,366,54.64,54.64,0,0,0,0,0,0,0,-45.36,-45.36,0,54.64,54.64,0,0,0,0,0,0,0,54.64,54.64,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,3,waitDefense,防守等待,弱参考,弱参考,366,366,52.46,52.46,0,0,0,0,52.46,52.46,0,0,0,0,0,0,0,-47.54,-47.54,0,0,0,0,52.46,52.46,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,breakoutDown,向下突破,弱参考,弱参考,366,366,54.64,54.64,0,0,0,0,0,0,0,-45.36,-45.36,0,54.64,54.64,0,0,0,0,0,0,0,54.64,54.64,0,宏观影响小,相对基准提升不足5%；验证精度不足55%,相对基准提升不足5%；验证精度不足55%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,breakoutUp,向上突破,强参考,弱参考,366,366,56.28,48.63,-7.65,5.19,-2.46,-7.65,62.39,49.18,-13.21,11.29,-1.91,-13.2,53.7,48.52,-5.18,4.79,-0.38,-5.17,11.29,-0.38,-11.67,62.39,49.18,-13.21,不保留宏观,时间外验证存在稳定提升,相对基准提升不足5%；验证精度不足55%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,gridNeutral,震荡网格,弱参考,弱参考,366,366,76.5,79.51,3.01,-3.01,0,3.01,79.37,79.51,0.14,-0.14,0,0.14,17.65,0,-17.65,-2.84,-20.49,-17.65,-0.14,0,0.14,79.37,79.51,0.14,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,meanReversionLong,低吸均值回归,弱参考,弱参考,366,366,86.61,87.7,1.09,-0.27,0.82,1.09,33.33,58.82,25.49,20.22,45.71,25.49,87.05,89.11,2.06,0.17,2.23,2.06,20.22,45.71,25.49,87.05,89.11,2.06,仅观察,没有通过适合/不适合信号完整门槛,没有通过适合/不适合信号完整门槛
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,meanReversionShort,高抛均值回归,强参考,弱参考,366,366,72.68,72.95,0.27,-4.64,-4.37,0.27,42.74,35.71,-7.03,20.06,13.04,-7.02,86.75,79.68,-7.07,9.42,2.36,-7.06,20.06,13.04,-7.02,86.75,79.68,-7.07,不保留宏观,时间外验证存在稳定提升,没有通过适合/不适合信号完整门槛
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,trendLong,趋势追多,弱参考,弱参考,366,366,56.28,56.28,0,0,0,0,56.28,56.28,0,0,0,0,0,0,0,-43.72,-43.72,0,0,0,0,56.28,56.28,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,trendShort,趋势做空,弱参考,弱参考,366,366,56.28,56.28,0,0,0,0,0,0,0,-43.72,-43.72,0,56.28,56.28,0,0,0,0,0,0,0,56.28,56.28,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
macro-regime,etf_halving_2024,2024 ETF/减半周期,策略适配树,5,waitDefense,防守等待,弱参考,弱参考,366,366,55.74,55.74,0,0,0,0,55.74,55.74,0,0,0,0,0,0,0,-44.26,-44.26,0,0,0,0,55.74,55.74,0,宏观影响小,相对基准提升不足5%,相对基准提升不足5%
