status,path,instrument,bar,cleanRows,snapshotCount,dataStatus,historyQuality,periodWeight,observationRows,environmentCounts
ok,/Users/guanlan/Desktop/--whd/data/clean/TON_USDT_4H_clean.json,TON-USDT,4H,8972,8740,ok,half_weight,0.7,21711,"{'CHAOS': 3259, 'RANGE': 4990, 'TREND': 13462}"
ok,/Users/guanlan/Desktop/--whd/data/clean/TRX_USDT_4H_clean.json,TRX-USDT,4H,18385,18153,ok,half_weight,0.7,41689,"{'CHAOS': 7648, 'TREND': 21646, 'RANGE': 12395}"
ok,/Users/guanlan/Desktop/--whd/data/clean/DOT_USDT_4H_clean.json,DOT-USDT,4H,12661,12429,ok,half_weight,0.7,31909,"{'TREND': 22432, 'RANGE': 5735, 'CHAOS': 3742}"
ok,/Users/guanlan/Desktop/--whd/data/clean/BCH_USDT_4H_clean.json,BCH-USDT,4H,16515,16283,ok,half_weight,0.7,41765,"{'TREND': 27025, 'RANGE': 9592, 'CHAOS': 5148}"
ok,/Users/guanlan/Desktop/--whd/data/clean/LTC_USDT_4H_clean.json,LTC-USDT,4H,18386,18154,ok,half_weight,0.7,46079,"{'TREND': 29813, 'RANGE': 10399, 'CHAOS': 5867}"
ok,/Users/guanlan/Desktop/--whd/data/clean/UNI_USDT_4H_clean.json,UNI-USDT,4H,12508,12276,ok,half_weight,0.7,31848,"{'TREND': 23321, 'CHAOS': 3643, 'RANGE': 4884}"
ok,/Users/guanlan/Desktop/--whd/data/clean/AAVE_USDT_4H_clean.json,AAVE-USDT,4H,12297,12065,ok,half_weight,0.7,31264,"{'TREND': 23145, 'CHAOS': 3231, 'RANGE': 4888}"
ok,/Users/guanlan/Desktop/--whd/data/clean/NEAR_USDT_4H_clean.json,NEAR-USDT,4H,12045,11813,ok,half_weight,0.7,31570,"{'CHAOS': 3203, 'TREND': 24131, 'RANGE': 4236}"
ok,/Users/guanlan/Desktop/--whd/data/clean/OP_USDT_4H_clean.json,OP-USDT,4H,8778,8546,ok,half_weight,0.7,22660,"{'TREND': 16879, 'CHAOS': 2397, 'RANGE': 3384}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ARB_USDT_4H_clean.json,ARB-USDT,4H,7003,6771,ok,half_weight,0.7,18287,"{'TREND': 12996, 'CHAOS': 2179, 'RANGE': 3112}"
ok,/Users/guanlan/Desktop/--whd/data/clean/SUI_USDT_4H_clean.json,SUI-USDT,4H,6757,6525,ok,half_weight,0.7,17371,"{'TREND': 12870, 'CHAOS': 1905, 'RANGE': 2596}"
ok,/Users/guanlan/Desktop/--whd/data/clean/APT_USDT_4H_clean.json,APT-USDT,4H,7936,7704,ok,half_weight,0.7,20162,"{'TREND': 14505, 'CHAOS': 2401, 'RANGE': 3256}"
ok,/Users/guanlan/Desktop/--whd/data/clean/FIL_USDT_4H_clean.json,FIL-USDT,4H,12045,11813,ok,half_weight,0.7,31157,"{'CHAOS': 3531, 'TREND': 22286, 'RANGE': 5340}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ETC_USDT_4H_clean.json,ETC-USDT,4H,18386,18154,ok,half_weight,0.7,46104,"{'TREND': 30044, 'CHAOS': 5624, 'RANGE': 10436}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ATOM_USDT_4H_clean.json,ATOM-USDT,4H,15584,15352,ok,half_weight,0.7,40983,"{'TREND': 27879, 'CHAOS': 4772, 'RANGE': 8332}"
ok,/Users/guanlan/Desktop/--whd/data/clean/INJ_USDT_4H_clean.json,INJ-USDT,4H,5492,5260,ok,half_weight,0.7,14162,"{'CHAOS': 1516, 'TREND': 10954, 'RANGE': 1692}"
ok,/Users/guanlan/Desktop/--whd/data/clean/STX_USDT_4H_clean.json,STX-USDT,4H,11498,11266,ok,half_weight,0.7,29014,"{'TREND': 21753, 'CHAOS': 3215, 'RANGE': 4046}"
ok,/Users/guanlan/Desktop/--whd/data/clean/IMX_USDT_4H_clean.json,IMX-USDT,4H,10021,9789,ok,half_weight,0.7,25763,"{'CHAOS': 2643, 'TREND': 19969, 'RANGE': 3151}"
ok,/Users/guanlan/Desktop/--whd/data/clean/WLD_USDT_4H_clean.json,WLD-USDT,4H,6266,6034,ok,half_weight,0.7,16545,"{'TREND': 13073, 'RANGE': 1880, 'CHAOS': 1592}"
ok,/Users/guanlan/Desktop/--whd/data/clean/AR_USDT_4H_clean.json,AR-USDT,4H,9727,9495,ok,half_weight,0.7,25868,"{'TREND': 19846, 'CHAOS': 2671, 'RANGE': 3351}"
ok,/Users/guanlan/Desktop/--whd/data/clean/XLM_USDT_4H_clean.json,XLM-USDT,4H,18386,18154,ok,half_weight,0.7,45611,"{'RANGE': 11003, 'TREND': 28665, 'CHAOS': 5943}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ICP_USDT_4H_clean.json,ICP-USDT,4H,11094,10862,ok,half_weight,0.7,28032,"{'TREND': 20369, 'CHAOS': 3339, 'RANGE': 4324}"
ok,/Users/guanlan/Desktop/--whd/data/clean/HBAR_USDT_4H_clean.json,HBAR-USDT,4H,14702,14470,ok,half_weight,0.7,38218,"{'RANGE': 7667, 'TREND': 25220, 'CHAOS': 5331}"
ok,/Users/guanlan/Desktop/--whd/data/clean/ALGO_USDT_4H_clean.json,ALGO-USDT,4H,15232,15000,ok,half_weight,0.7,41057,"{'TREND': 29063, 'RANGE': 7588, 'CHAOS': 4406}"
ok,/Users/guanlan/Desktop/--whd/data/clean/LDO_USDT_4H_clean.json,LDO-USDT,4H,8216,7984,ok,half_weight,0.7,21775,"{'TREND': 16574, 'CHAOS': 2306, 'RANGE': 2895}"
ok,/Users/guanlan/Desktop/--whd/data/clean/CRV_USDT_4H_clean.json,CRV-USDT,4H,12711,12479,ok,half_weight,0.7,33150,"{'TREND': 25332, 'CHAOS': 3421, 'RANGE': 4397}"
